Key,Status,Summary,Assignee,Due date,Updated date,Labels
BRAND-101,In Progress,Homepage banner update,Unassigned,2026-03-10,2026-03-08,c-lz
BRAND-102,To Do,Landing page text change,Unassigned,2026-03-12,2026-03-07,c-sr
BRAND-103,In Review,PDP product image fix,Unassigned,2026-03-15,2026-03-09,c-lz
BRAND-104,Done,Footer link correction,Unassigned,2026-03-08,2026-03-08,c-sr
BRAND-105,In Progress,Promo banner update,Unassigned,2026-03-17,2026-03-10,c-lz
BRAND-106,To Do,Update CTA buttons,Unassigned,2026-03-18,2026-03-11,c-sr
BRAND-107,In Progress,New landing campaign,Unassigned,2026-03-20,2026-03-12,c-lz
BRAND-108,In Review,Homepage carousel fix,Unassigned,2026-03-22,2026-03-12,c-sr
BRAND-109,To Do,Fix broken links,Unassigned,2026-03-23,2026-03-13,c-lz
BRAND-110,In Progress,SEO meta update,Unassigned,2026-03-24,2026-03-14,c-sr
